x_value,total_1,total_2
0,1000,1000
54,1055,1062
1,994,997
55,1062,1063
2,989,994
56,1068,1060
3,984,993
57,1075,1058
4,982,999
58,1083,1056
5,990,1005
59,1080,1055
6,998,1009
60,1088,1056
7,996,1005
61,1082,1059
8,996,1005
62,1082,1054
9,1003,1001
63,1087,1049
10,1006,1003
64,1088,1045
11,1004,1006
65,1088,1044
12,1012,1005
66,1093,1045
13,1016,1003
67,1091,1051
14,1016,1009
68,1095,1049
15,1020,1014
69,1095,1050
16,1025,1019
70,1099,1048
17,1021,1020
71,1095,1044
18,1029,1025
72,1093,1045
19,1036,1022
73,1093,1046
20,1040,1021
74,1089,1041
21,1044,1022
75,1092,1039
22,1039,1020
76,1099,1039
23,1044,1018
77,1098,1040
24,1049,1019
78,1093,1039
25,1051,1015
79,1093,1041
26,1048,1019
80,1099,1046
27,1055,1022
81,1102,1051
28,1051,1024
82,1096,1048
29,1058,1029
83,1092,1047
30,1055,1034
84,1097,1043
31,1060,1039
85,1103,1049
32,1064,1041
86,1105,1051
33,1066,1036
87,1106,1048
34,1060,1040
88,1114,1048
35,1068,1035
89,1112,1044
36,1069,1041
90,1117,1042
37,1064,1041
91,1111,1038
38,1064,1037
92,1118,1036
39,1069,1036
93,1114,1041
40,1076,1037
94,1118,1041
41,1075,1041
95,1125,1041
42,1072,1042
96,1121,1040
43,1072,1042
97,1117,1040
44,1071,1037
98,1111,1037
99,1113,1041
100,1114,1040
101,1116,1037
102,1110,1043
103,1110,1043
104,1109,1047
105,1113,1049
106,1113,1052
107,1109,1054
108,1106,1052
109,1102,1056
110,1107,1058
111,1115,1054
112,1119,1051
113,1124,1056
114,1126,1058
115,1123,1057
116,1129,1063
117,1135,1064
118,1137,1059
119,1133,1057
120,1133,1052
121,1138,1057
122,1133,1059
123,1137,1057
124,1133,1060
125,1129,1063
126,1137,1064
127,1132,1063
128,1140,1059
129,1144,1062
130,1138,1060
131,1137,1062
132,1133,1066
133,1139,1071
134,1139,1071
135,1140,1068
136,1145,1063
137,1152,1066
138,1150,1070
139,1158,1072
140,1166,1074
141,1169,1076
142,1163,1072
143,1165,1074
144,1167,1072
145,1166,1072
146,1170,1069
147,1176,1072
148,1178,1069
149,1179,1065
150,1184,1067
151,1191,1071
152,1195,1074
153,1197,1072
154,1201,1073
155,1195,1079
156,1197,1081
157,1203,1087
158,1197,1084
159,1196,1089
160,1198,1092
161,1193,1097
162,1189,1096
163,1197,1102
164,1205,1097
165,1210,1092
166,1218,1091
167,1222,1095
168,1223,1095
169,1229,1091
170,1233,1096
171,1235,1093
172,1241,1093
173,1244,1096
174,1241,1092
175,1245,1094
176,1243,1098
177,1242,1103
178,1248,1106
179,1254,1102
180,1260,1102
181,1254,1108
182,1259,1114
183,1264,1117
184,1262,1113
185,1269,1117
186,1268,1121
187,1268,1119
188,1265,1119
189,1268,1114
190,1267,1109
191,1269,1110
192,1276,1115
193,1271,1118
194,1271,1115
195,1265,1114
196,1265,1116
197,1271,1115
198,1267,1121
199,1266,1120
200,1263,1121
201,1264,1124
202,1266,1121
203,1271,1121
204,1277,1119
205,1277,1125
206,1272,1130
207,1280,1126
208,1278,1130
209,1274,1130
210,1280,1136
211,1280,1131
212,1281,1129
213,1275,1131
214,1270,1130
215,1268,1126
216,1264,1122
217,1266,1118
218,1272,1113
219,1275,1111
220,1282,1116
221,1276,1111
222,1270,1114
223,1273,1113
224,1267,1114
225,1275,1111
226,1270,1110
227,1273,1107
228,1270,1109
229,1275,1104
230,1273,1107
231,1281,1102
232,1283,1107
233,1288,1107
234,1289,1106
235,1285,1101
236,1284,1105
237,1289,1108
238,1292,1104
239,1286,1108
240,1285,1108
241,1281,1103
242,1278,1104
243,1282,1107
244,1288,1104
245,1290,1102
246,1288,1107
247,1284,1110
248,1287,1107
249,1294,1112
250,1296,1118
251,1295,1115
252,1290,1113
253,1297,1109
254,1304,1107
255,1304,1109
256,1301,1106
257,1305,1110
258,1310,1108
259,1304,1114
260,1304,1117
261,1310,1121
262,1317,1118
263,1317,1124
264,1322,1128
265,1325,1134
266,1327,1135
267,1335,1133
268,1331,1135
269,1336,1132
270,1336,1132
271,1333,1135
272,1334,1134
273,1330,1133
274,1335,1135
275,1332,1131
276,1329,1131
277,1327,1133
278,1333,1135
279,1327,1132
280,1334,1128
281,1335,1123
282,1335,1128
283,1338,1126
284,1345,1125
285,1341,1129
286,1338,1131
287,1336,1134
288,1332,1140
289,1333,1141
290,1330,1142
291,1332,1138
292,1326,1136
293,1321,1133
294,1329,1128
295,1331,1133
296,1339,1132
297,1334,1135
298,1336,1133
299,1332,1129
300,1338,1130
301,1339,1128
302,1340,1128
303,1344,1125
304,1341,1122
305,1335,1118
306,1333,1115
307,1327,1115
308,1333,1117
309,1332,1117
310,1327,1122
311,1332,1126
312,1331,1121
313,1334,1126
314,1340,1124
315,1346,1128
316,1344,1129
317,1338,1132
318,1344,1135
319,1352,1137
320,1353,1132
321,1347,1131
322,1349,1127
323,1357,1129
324,1354,1135
325,1359,1135
326,1361,1130
327,1355,1126
328,1350,1129
329,1358,1130
330,1359,1128
331,1353,1131
332,1354,1127
333,1353,1128
334,1360,1123
335,1361,1124
336,1359,1127
337,1354,1125
338,1350,1128
339,1353,1124
340,1356,1121
341,1361,1120
342,1364,1123
343,1362,1121
344,1358,1125
345,1361,1128
346,1366,1134
347,1364,1132
348,1365,1134
349,1364,1134
350,1371,1135
351,1371,1139
352,1372,1134
353,1380,1137
354,1384,1140
355,1384,1137
356,1381,1134
357,1384,1132
358,1392,1129
359,1396,1135
360,1398,1138
361,1397,1135
362,1405,1141
363,1402,1137
364,1399,1142
365,1393,1146
366,1390,1152
367,1389,1150
368,1391,1151
369,1386,1152
370,1387,1147
371,1390,1148
372,1384,1152
373,1385,1153
374,1380,1150
375,1384,1154
376,1378,1160
377,1377,1164
378,1380,1168
379,1379,1171
380,1381,1169
381,1384,1165
382,1381,1160
383,1380,1161
384,1383,1160
385,1383,1166
386,1390,1163
387,1390,1166
388,1393,1167
389,1393,1162
390,1392,1165
391,1394,1167
392,1388,1169
393,1392,1165
394,1391,1168
395,1388,1172
396,1382,1167
397,1390,1163
398,1398,1162
399,1406,1159
400,1413,1154
401,1412,1155
402,1406,1152
403,1406,1158
404,1401,1163
405,1398,1168
406,1397,1172
407,1397,1168
408,1405,1163
409,1407,1158
410,1414,1155
411,1409,1160
412,1407,1163
413,1412,1164
414,1415,1166
415,1413,1165
416,1414,1166
417,1409,1171
418,1410,1168
419,1412,1170
420,1415,1168
421,1412,1163
422,1412,1162
423,1418,1168
424,1417,1166
425,1416,1161
426,1418,1158
427,1424,1160
428,1419,1155
429,1421,1161
430,1420,1157
431,1416,1157
432,1418,1162
433,1415,1164
434,1413,1160
435,1418,1163
436,1412,1167
437,1417,1166
438,1423,1169
439,1425,1164
440,1422,1163
441,1416,1163
442,1415,1160
443,1413,1165
444,1419,1163
445,1426,1163
446,1423,1158
447,1428,1156
448,1423,1159
449,1425,1164
450,1426,1162
451,1433,1163
452,1438,1163
453,1434,1161
454,1435,1159
455,1434,1159
456,1429,1165
457,1429,1170
458,1431,1169
459,1430,1174
460,1437,1173
